tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date
1222-2560,กระจกนิรภัยหลายชั้น,35,32,87,32,0,0,122,2025-11-01
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,19,11,19,9,0,0,38,2025-11-01
1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,45,40,0,0,0,0,45,2025-11-01
1230-2537,จานเรซินอยด์สำหรับตัด,0,0,0,0,3,3,3,2025-11-01
1231-2560,กระจกฉนวน,14,12,71,28,0,0,85,2025-11-01
1237-2537,ฝาและขอบบ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จ,0,0,0,0,3,3,3,2025-11-01
124-2518,สายพานแบนส่งกำลัง,0,0,0,0,2,2,2,2025-11-01
1245-2553,สารอัดแบบเมลามีนฟอร์แมลดีไฮด์,0,0,0,0,3,3,3,2025-11-01
1253-2537,เครื่องเรือนอเนกประสงค์ : เก้าอี้โลหะ,0,0,0,0,5,3,5,2025-11-01
126-2548,ข้อต่อซีเมนต์ใยหินชนิดทนความดัน,0,0,0,0,3,2,3,2025-11-01
127-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งพื้น,0,0,0,0,4,3,4,2025-11-01
1277-2555,ก๊อกน้ำสำหรับอ่างล้างชาม,0,0,0,0,6,2,6,2025-11-01
1278-2555,ก๊อกน้ำสำหรับอ่างล้างหน้า-ล้างมือ,0,0,0,0,9,3,9,2025-11-01
128-2560,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,0,0,0,0,457,439,457,2025-11-01
1282-2538,สะดือสำหรับอ่างล้างหน้า-ล้างมือ,0,0,0,0,2,2,2,2025-11-01
1283-2538,เครื่องตัดหญ้าแบบใบมีดหมุนเหวี่ยงตามแนวระดับสำหรับรถแทรกเตอร์ล้อยางเพื่อการเกษตร,0,0,0,0,1,1,1,2025-11-01
1284-2560,ตู้เหล็กเก็บสัมภาระ,0,0,0,0,9,9,9,2025-11-01
1288-2538,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : ประตูเหล็กกล้าขึ้นรูปเย็น,0,0,0,0,27,19,27,2025-11-01
13-2566,กรดซัลฟิวริกสำหรับแบตเตอรี่ชนิดตะกั่ว-กรด,0,0,0,0,2,2,2,2025-11-01
1303-2538,เหล็กโครงสร้างรูปพรรณเชื่อมประกอบ,0,0,0,0,3,3,3,2025-11-01
1306-2566,พอลิโพรพิลีนเรซิน,0,0,0,0,5,3,5,2025-11-01
131-2523,รองเท้าแตะฟองน้ำ,0,0,0,0,2,2,2,2025-11-01
1316-2562,ชั้นโลหะวางของ,0,0,0,0,1,1,1,2025-11-01
1318-2552,ทินเนอร์ระเหยช้า,0,0,0,0,1,1,1,2025-11-01
132-2564,รองเท้าผ้าใบ,0,0,0,0,1,1,1,2025-11-01
1326-2560,เครื่องเรือนสำหรับที่พักอาศัย : ตู้เหล็กเก็บเสื้อผ้า,0,0,0,0,4,4,4,2025-11-01
133-2562,ปูนซีเมนต์ปอร์ตแลนด์ขาว,1,1,5,5,0,0,6,2025-11-01
1342-2539,น้ำตาลทรายแดง,0,0,0,0,1,1,1,2025-11-01
1344-2560,กระจกโฟลตสีตัดแสง,8,3,78,23,0,0,86,2025-11-01
1350-2539,รถแทรกเตอร์เดินตาม,0,0,0,0,1,1,1,2025-11-01
1368-2539,ประตูระบายอากาศสำหรับงานประปา,0,0,0,0,26,16,26,2025-11-01
1377-2555,ก๊อกน้ำปิดอัตโนมัติสำหรับอ่างล้างหน้า-ล้างมือ,0,0,0,0,5,2,5,2025-11-01
1378-2559,เหล็กกล้าไร้สนิมทรงแบนรีดเย็น แผ่นม้วน แผ่นแถบ และแผ่นตัด,0,0,0,0,2,1,2,2025-11-01
1379-2551,ถังเก็บน้ำพลาสติก,0,0,0,0,50,36,50,2025-11-01
138-2562,ลวดผูกเหล็ก,0,0,0,0,6,6,6,2025-11-01
1388-2539,ทองแดงและทองแดงเจือแผ่นและแผ่นแถบ,0,0,0,0,1,1,1,2025-11-01
1389-2559,เครื่องอบผ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,6,4,83,30,0,0,89,2025-11-01
1390-2560,เข็มพืดเหล็กกล้ารีดร้อน,1,1,7,6,0,0,8,2025-11-01
1394-2561,สายดูดเสมหะสำหรับใช้ครั้งเดียว,0,0,0,0,5,5,5,2025-11-01
1395-2562,บล็อกแก้วกลวง,0,0,0,0,2,1,2,2025-11-01
1398-2565,เข็มฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,0,0,0,0,1,1,1,2025-11-01
14-2565,มอโนโซเดียม แอล-กลูทาเมต,0,0,0,0,3,3,3,2025-11-01
1404-2540,ที่นอนฟองน้ำโพลิยูรีเทน,0,0,0,0,1,1,1,2025-11-01
1406-2564,สีเคลือบด้านแอลคีด,0,0,0,0,2,2,2,2025-11-01
1407-2540,กระเบื้องซีเมนต์เส้นใยแผ่นลอน,0,0,0,0,19,5,19,2025-11-01
1413-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบลิ้นหุ้มยางสำหรับงานประปา,0,0,0,0,4,3,4,2025-11-01
1414-2540,แผงรั้วโลหะ,0,0,0,0,2,2,2,2025-11-01
1419-2540,เครื่องกรองน้ำชนิดใช้ถ่านกัมมันต์เม็ดและเรซินแลกเปลี่ยนแคตไอออน,0,0,0,0,3,3,3,2025-11-01
1420-2551,ไส้กรองความขุ่นสำหรับเครื่องกรองน้ำดื่ม,0,0,0,0,4,4,4,2025-11-01
1424-2540,เครื่องเรือนสำหรับสำนักงาน: ฉากกั้นห้อง,0,0,0,0,1,1,1,2025-11-01
1425-2540,ที่นอนยางฟองน้ำลาเทกซ์,0,0,0,0,2,2,2,2025-11-01
1427-2561,แผ่นซีเมนต์เส้นใย : แผ่นเรียบ,0,0,0,0,17,7,17,2025-11-01
1436 เล่ม 2-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 2 ชุดสวิตช์เกียร์และชุดเกียร์ควบคุม,0,0,0,0,28,28,28,2025-11-01
1436 เล่ม 3-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 3 บอร์ดจ่ายไฟฟ้าประสงค์ให้ใช้งานโดยบุคคลทั่วไป,20,19,0,0,18,17,38,2025-11-01
1439-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับหม้อน้ำเครื่องกำเนิดไอน้ำยวดยิ่ง เครื่องแลกเปลี่ยนความร้อน และเครื่องควบแน่น,0,0,0,0,2,2,2,2025-11-01
1462-2562,เครื่องซักผ้าใช้ในที่อยู่อาศัย-คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,10,10,79,31,0,0,89,2025-11-01
1463-2556,เครื่องซักผ้าใช้ในที่อยู่อาศัย - คุณลักษณะที่ต้องการด้านความปลอดภัย,21,11,155,44,0,0,176,2025-11-01
1479-2558,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างทั่วไป,93,65,407,96,0,0,500,2025-11-01
1483-2549,ท่อไฟเบอร์กลาสส์รับความดันสำหรับงานประปา,0,0,0,0,11,5,11,2025-11-01
