tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date
2143 เล่ม 1-2567,สายไฟฟ้าแรงดันสูงหุ้มฉนวนและอุปกรณ์ส่วนควบใช้กับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 1 kV ถึงไม่เกิน 30 kV เล่ม 1 สายไฟฟ้าใช้กับแรงดันไฟฟ้าที่กำหนด 1 kV และ 3 kV,0,0,0,0,2,2,2,2025-11-01
2147-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์,0,0,0,0,2,2,2,2025-11-01
2148-2546,ก๊อกน้ำอัตโนมัติสำหรับเครื่องสุขภัณฑ์ เฉพาะด้านสิ่งแวดล้อม : การประหยัดน้ำ,0,0,0,0,1,1,1,2025-11-01
2149-2546,ก๊อกน้ำติดผนังสำหรับห้องน้ำ,0,0,0,0,7,5,7,2025-11-01
2150-2564,พอลิอะลูมิเนียมคลอไรด์ชนิดเหลว,0,0,0,0,8,8,8,2025-11-01
2151-2555,พอลิยูรีเทนเคลือบผิวชนิดแยกส่วนผสมสองส่วนใช้งานทั่วไป,0,0,0,0,3,3,3,2025-11-01
2156-2547,มอดิฟายด์แอสฟัลต์ซีเมนต์สำหรับงานทาง,0,0,0,0,9,7,9,2025-11-01
2157-2547,มอดิฟายด์แอสฟัลต์อิมัลชันสำหรับงานทาง,0,0,0,0,13,8,13,2025-11-01
216-2524,ท่อพีวีซีแข็งสำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,0,0,0,0,81,38,81,2025-11-01
2165-2561,เคเบิลเส้นใยนำแสง เล่ม 3(10) : เคเบิลภายนอกอาคาร - ข้อกำหนดคุณลักษณะเป็นรายกลุ่ม สำหรับเคเบิลเส้นใยนำแสงโทรคมนาคมชนิดติดตั้งในท่อร้อยสาย ฝังดินโดยตรง และแขวนในอากาศโดยใช้ลวดพัน,5,5,23,18,0,0,28,2025-11-01
2166-2548,เคเบิลเส้นใยนำแสง เล่ม 3-20 : เคเบิลภายนอกอาคาร -ข้อกำหนดคุณลักษณะเป็นรายกลุ่มสำหรับเคเบิลเส้นใยนำแสงโทรคมนาคม แขวนในอากาศรับน้ำหนักตัวเองได้,39,8,237,80,0,0,276,2025-11-01
217-2556,กรดไฮโดรคลอริกสำหรับอุตสาหกรรม,0,0,0,0,7,6,7,2025-11-01
218-2520,อะลูมิเนียมชุบผิว,0,0,0,0,8,6,8,2025-11-01
2186-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็งสำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านสิ่งแวดล้อม : ประสิทธิภาพพลังงาน,14,10,89,33,0,0,103,2025-11-01
219-2566,แผ่นยิปซัม,0,0,0,0,8,6,8,2025-11-01
2202-2547,สายไฟฟ้าแรงดันสูงหุ้มด้วยฉนวนครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนดตั้งแต่ 60 กิโลโวลต์ ถึง 115 กิโลโวลต์,8,5,1,1,0,0,9,2025-11-01
2203-2558,กระจกลวดลาย,0,0,0,0,1,1,1,2025-11-01
221-2558,ซิงก์ออกไซด์สำหรับอุตสาหกรรมทั่วไป,0,0,0,0,1,1,1,2025-11-01
2214-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็ง สำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านความปลอดภัย,14,10,106,38,0,0,120,2025-11-01
2217-2548,เซลล์และแบตเตอรี่ทุติยภูมิที่มีอิเล็กโทรไลต์แอลคาไลน์หรืออิเล็กโทรไลต์อื่นที่ไม่ใช่กรด สำหรับการใช้งานแบบพกพา เฉพาะด้านความปลอดภัย,10,8,1706,404,0,0,1716,2025-11-01
2223-2565,เหล็กกล้าทรงแบนเคลือบสังกะสี โดยกรรมวิธีทางไฟฟ้า,47,36,70,43,0,0,117,2025-11-01
2224-2548,ผลิตภัณฑ์ขจัดคราบน้ำมัน,0,0,0,0,5,5,5,2025-11-01
2226-2548,แผ่นผนังคอนกรีตสำเร็จรูป,0,0,0,0,3,3,3,2025-11-01
2228-2565,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสีโดยกรรมวิธีจุ่มร้อน,28,22,101,57,2,2,131,2025-11-01
2234-2557,หลอดมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป - คุณลักษณะที่ต้องการด้านความปลอดภัย,1,1,16,10,0,0,17,2025-11-01
2235-2557,หลอดฟลูออเรสเซนซ์ขั้วเดี่ยว - คุณลักษณะที่ต้องการด้านความปลอดภัย,1,1,8,4,0,0,9,2025-11-01
224-2533,ท่อคอนกรีตไม่เสริมเหล็กสำหรับงานระบายน้ำ,0,0,0,0,8,7,8,2025-11-01
2241-2548,สีเคลือบเงาอะคริลิกเรซิน,0,0,0,0,3,3,3,2025-11-01
2243-2564,เหล็กลวดคาร์บอนสำหรับงานย้ำหัวและงานทุบขึ้นรูปเย็น,0,0,0,0,1,1,1,2025-11-01
225-2562,ไฮโปคลอไรต์,0,0,0,0,13,11,13,2025-11-01
2253-2548,ข้อต่อเหล็กหล่อแกรไฟต์กลมสำหรับท่อส่งน้ำชนิดทนความดัน,0,0,0,0,18,12,18,2025-11-01
2254-2561,สีเท็กซ์เจอร์,0,0,0,0,1,1,1,2025-11-01
2261-2549,เสื้อชั้นในชาย,0,0,0,0,5,5,5,2025-11-01
2274-2549,ผลิตภัณฑ์ฟอกผ้าประเภทเพอร์ออกไซด์,0,0,0,0,1,1,1,2025-11-01
229-2540,อะเซทิลีน,0,0,0,0,1,1,1,2025-11-01
23-2558,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ - คุณลักษณะที่ต้องการด้านความปลอดภัย,3,3,2,2,0,0,5,2025-11-01
2303-2564,แผ่นฉนวนความร้อนใยแร่,0,0,0,0,1,1,1,2025-11-01
2311-2549,ถังบรรจุก๊าซ-ถังทนความดันสูงสำหรับบรรจุก๊าซธรรมชาติที่ใช้เป็นเชื้อเพลิงสำหรับพาหนะรถยนต์,0,0,0,0,5,2,5,2025-11-01
2312-2549,เตาหุงต้มในครัวเรือนใช้กับก๊าซปิโตรเลียมเหลว,0,0,0,0,4,3,4,2025-11-01
2316-2549,เสาเหล็กกล้าเคลือบสังกะสีสำหรับไฟฟ้าแสงสว่าง,0,0,0,0,63,60,63,2025-11-01
2321-2564,สีอิมัลชันทนสภาวะอากาศ,0,0,0,0,36,35,36,2025-11-01
2329-2562,ลูกฟุตซอล,0,0,0,0,4,4,4,2025-11-01
2335-2558,ยานยนต์ประเภท M1 N1 ที่ใช้เครื่องยนต์สันดาปภายใน หรือที่ขับเคลื่อนด้วยไฟฟ้า หรือไฮบริดไฟฟ้า: สารมลพิษคาร์บอนไดออกไซด์ ความสิ้นเปลืองเชื้อเพลิง - พลังงานไฟฟ้า และระยะขับเคลื่อนด้วยไฟฟ้า,0,0,0,0,9,2,9,2025-11-01
2336-2552,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรกลไฟฟ้าสำหรับพลังงานไฟฟ้าใช้งาน (ชั้น 0.5 ชั้น 1 และ ชั้น 2),0,0,0,0,27,15,27,2025-11-01
2337-2557,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ : คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,3,3,4,3,0,0,7,2025-11-01
2341-2564,สายไฟฟ้าอากาศตัวนำอะลูมิเนียมหุ้มฉนวนและเปลือกครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนด 25 kV และ 35 kV,0,0,0,0,7,7,7,2025-11-01
2344-2563,สีสังเคราะห์ : สีซัลเฟอร์,1,1,15,11,0,0,16,2025-11-01
2345-2550,ธูป,0,0,0,0,1,1,1,2025-11-01
2346-2566,เสื้อผ้าสำเร็จรูป : ความปลอดภัยจากสีและสารเคมีที่เป็นอันตราย,0,0,0,0,1,1,1,2025-11-01
2356-2550,แผ่นพีวีซีโฟมแข็ง,0,0,0,0,3,3,3,2025-11-01
2357-2550,ท่ออะคริโลไนไทรล์-บิวทาไดอีน-สไตรีน (เอบีเอส) ทนความดัน,0,0,0,0,1,1,1,2025-11-01
236-2548,หลอดฟลูออเรสเซนซ์ขั้วคู่,0,0,0,0,5,2,5,2025-11-01
2369-2551,กรดไนทริกสำหรับอุตสาหกรรม,0,0,0,0,1,1,1,2025-11-01
237-2564,แหวนยางสำหรับท่อน้ำ,0,0,0,0,3,3,3,2025-11-01
2377-2559,แผ่นยางปูพื้น,0,0,0,0,7,7,7,2025-11-01
2378-2559,บล็อกยางปูพื้น,0,0,0,0,2,2,2,2025-11-01
238-2520,ถังน้ำเหล็กอาบสังกะสี,0,0,0,0,1,1,1,2025-11-01
2385-2551,สายต่อใช้ในการแพทย์,0,0,0,0,1,1,1,2025-11-01
2386-2555,สีรองพื้นกันสนิมซิงก์ฟอสเฟต,0,0,0,0,4,4,4,2025-11-01
2387-2555,สีรองพื้นกันสนิม,0,0,0,0,17,16,17,2025-11-01
239-2561,กระดาษเช็ดมือ,0,0,0,0,1,1,1,2025-11-01
2391-2551,สารละลายเฟร์ริกคลอไรด์,0,0,0,0,3,3,3,2025-11-01
2392-2551,เครื่องกรองน้ำดื่ม,0,0,0,0,2,2,2,2025-11-01
24-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กข้ออ้อย,46,37,3,1,0,0,49,2025-11-01
240-2561,กระดาษเช็ดปาก,0,0,0,0,1,1,1,2025-11-01
2424-2565,หน้ากากอนามัยใช้ครั้งเดียว,0,0,0,0,34,33,34,2025-11-01
2425-2560,เครื่องตัดวงจรใช้กระแสเหลือแบบไม่มีอุปกรณ์ป้องกันกระแสเกิน สำหรับใช้ในที่อยู่อาศัยและใช้ในลักษณะที่คล้ายกัน เล่ม 1 หลักเกณฑ์ทั่วไป,2,2,46,37,0,0,48,2025-11-01
2426-2552,เตาเผาไฟฟ้า : แบบความต้านทาน,0,0,0,0,1,1,1,2025-11-01
2432-2555,เต้าเสียบและเต้ารับสำหรับใช้ในที่อยู่อาศัยและงานทั่วไปที่มีจุดประสงค์คล้ายกัน : ชุดสายพ่วง,72,48,122,79,0,0,194,2025-11-01
2434-2552,สายเคเบิลโทรคมนาคม ตัวนำทองแดง หุ้มฉนวนพอลิโอเลฟิน สำหรับการติดตั้งแบบแขวนในอากาศ,8,7,5,2,0,0,13,2025-11-01
2438-2552,ที่นอนโฟมพอลิสไตรีน,0,0,0,0,3,2,3,2025-11-01
2440-2552,เครื่องใช้เหล็กกล้าไร้สนิม: ภาชนะหุงต้มที่มีรอยประสาน,14,10,1,1,0,0,15,2025-11-01
2441-2562,ถังก๊าซปิโตรเลียมเหลว : ถังคอมโพสิต,0,0,0,0,1,1,1,2025-11-01
2461-2565,ตู้น้ำร้อนน้ำเย็นบริโภคและตู้น้ำเย็นบริโภค เฉพาะด้านความปลอดภัย,4,4,7,6,1,1,12,2025-11-01
247-2552,ด้ายเย็บพอลิเอสเทอร์,0,0,0,0,1,1,1,2025-11-01
2477-2552,ถุงฝายยาง,0,0,0,0,2,2,2,2025-11-01
2479-2552,ยางกันเรือกระแทกรูปท่อทรงกระบอกและรูปตัววี,0,0,0,0,2,2,2,2025-11-01
248-2567,ราวเหล็กลูกฟูกกันรถสำหรับทางสัญจร,0,0,0,0,56,56,56,2025-11-01
2480-2562,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,0,0,0,0,3,3,3,2025-11-01
2481-2552,เครื่องขูดหินน้ำลายไฟฟ้า,0,0,0,0,3,3,3,2025-11-01
249-2540,ข้อต่อท่อเหล็กหล่ออบเหนียวต่อด้วยเกลียว,0,0,0,0,8,3,8,2025-11-01
2493 เล่ม 1-2554,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 1 สำหรับการอุ่น,66,64,40,25,0,0,106,2025-11-01
2493 เล่ม 2-2556,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 2 สำหรับการอุ่นครั้งเดียว,117,104,60,37,0,0,177,2025-11-01
2502-2553,พรมทอ,0,0,0,0,1,1,1,2025-11-01
2505-2553,ถุงมือยางที่ใช้ในอุตสาหกรรมอาหาร,0,0,0,0,1,1,1,2025-11-01
2507-2553,ยางกันเรือกระแทกรูปตัวดีและรูปจัตุรัส,0,0,0,0,3,3,3,2025-11-01
2508-2555,กระเบื้องเซรามิก,21,11,1590,197,0,0,1611,2025-11-01
251-2554,ผ้าโปร่งดูดซึม ผ้าพันแผล และผ้าซับ,0,0,0,0,4,4,4,2025-11-01
2514-2564,สีอิมัลชันลดความร้อนจากแสงอาทิตย์,0,0,0,0,12,11,12,2025-11-01
2515-2555,สีเคลือบเงาชนิดน้ำ,0,0,0,0,1,1,1,2025-11-01
2517-2561,หลอดให้สารละลายทางหลอดเลือดแบบมีเข็มนำใช้ครั้งเดียว,0,0,0,0,1,1,1,2025-11-01
2518-2557,ท่ออีพ็อกซีเรซินเสริมใยแก้ว สำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,0,0,0,0,11,10,11,2025-11-01
2529-2555,สีจราจรชนิดน้ำ,0,0,0,0,8,6,8,2025-11-01
253-2521,แหและอวน : ไนลอนและโพลิเอทิลีน,0,0,0,0,2,1,2,2025-11-01
2532-2563,สีสังเคราะห์ : สีแอซิด,10,10,61,27,0,0,71,2025-11-01
2543-2555,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรอิเล็กทรอนิกส์สำหรับพลังงานใช้งาน (ชั้น 1 และชั้น 2),0,0,0,0,44,31,44,2025-11-01
2544-2555,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรอิเล็กทรอนิกส์สำหรับพลังงานใช้งาน (ชั้น 0.2S และชั้น 0.5S),0,0,0,0,21,14,21,2025-11-01
2555-2554,รถยนต์ขนาดเล็กที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยประกายไฟที่ใช้ก๊าซธรรมชาติหรือก๊าซปิโตรเลียมเหลวเป็นเชื้อเพลิง เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,1,1,0,0,0,0,1,2025-11-01
2559-2554,พอลิเอทิลีนคอมพาวนด์สำหรับผลิตท่อน้ำดื่ม,0,0,0,0,4,3,4,2025-11-01
256-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบรองลิ้นโลหะสำหรับงานประปา,0,0,0,0,39,19,39,2025-11-01
257-2549,น้ำบริโภค,0,0,0,0,7,5,7,2025-11-01
2573-2555,เครื่องหมายปุ่มบนพื้นทาง : หมุดสะท้อนแสง,0,0,0,0,14,13,14,2025-11-01
258-2521,แหวนรองแบบเรียบ,0,0,0,0,8,7,8,2025-11-01
2594-2567,ปูนซีเมนต์ไฮดรอลิก,17,10,2,2,0,0,19,2025-11-01
2595-2566,ปูนซีเมนต์สำหรับงานก่อและงานฉาบ,0,0,0,0,9,7,9,2025-11-01
2599-2556,ถุงเท้าใช้งานหนัก,0,0,0,0,4,4,4,2025-11-01
2600-2556,กระเบื้องหินขัดชั้นเดียว,0,0,0,0,1,1,1,2025-11-01
2601-2556,คอนกรีตบล็อกมวลเบาแบบเติมฟองอากาศ,0,0,0,0,12,11,12,2025-11-01
2602-2556,กระจกนิรภัยสำหรับยานยนต์,26,13,345,57,0,0,371,2025-11-01
2610-2556,ยูนิตทำฟัน,0,0,0,0,8,7,8,2025-11-01
2611-2556,วัสดุโคลด์พลาสติกสำหรับทำเครื่องหมายบนผิวทาง,0,0,0,0,17,12,17,2025-11-01
2619-2556,กระเบื้องคอนกรีตเสริมประกอบสำหรับมุงหลังคา,0,0,0,0,8,5,8,2025-11-01
2622-2556,ภาชนะและเครื่องใช้โลหะเคลือบฟลูออโรพอลิเมอร์สำหรับอาหาร,2,2,89,56,0,0,91,2025-11-01
2623 เล่ม 2(1)-2560,ลูกถ้วยแขวนในระบบจำหน่ายไฟฟ้า : พอร์ซเลน,0,0,0,0,7,7,7,2025-11-01
2623 เล่ม 2(2)-2560,ลูกถ้วยแขวนในระบบส่งไฟฟ้า : พอร์ซเลน,0,0,0,0,3,3,3,2025-11-01
2623 เล่ม 3-2563,ลูกถ้วยไฟฟ้า เล่ม 3 ลูกถ้วยล้อ: พอร์ซเลน,0,0,0,0,10,10,10,2025-11-01
2623 เล่ม 4-2563,ลูกถ้วยไฟฟ้า เล่ม 4 : ลูกถ้วยยึดโยง: พอร์ซเลน,0,0,0,0,5,5,5,2025-11-01
2623 เล่ม 7(1)-2564,ลูกถ้วยไฟฟ้า เล่ม 7(1) ลูกถ้วยหลักรับสายไฟฟ้า : พอร์ซเลน,0,0,0,0,11,11,11,2025-11-01
2623 เล่ม 7(2)-2564,ลูกถ้วยไฟฟ้า เล่ม 7(2) ลูกถ้วยหลักก้านตรงรับสายไฟฟ้า : พอร์ซเลน,0,0,0,0,8,8,8,2025-11-01
2623 เล่ม 9-2564,ลูกถ้วยไฟฟ้า เล่ม 9 ลูกถ้วยหลักรับอุปกรณ์: พอร์ซเลน,0,0,0,0,7,7,7,2025-11-01
2625-2557,สีเคลือบแอลคีด : เฉพาะด้านความปลอดภัย,64,60,1,1,0,0,65,2025-11-01
2662-2557,สีพ่นยานยนต์พอลิยูรีเทนชนิดแยกส่วนผสมสองส่วน : สีพื้นรองทับหน้า,0,0,0,0,8,8,8,2025-11-01
2663-2557,สีพ่นยานยนต์พอลิยูรีเทนชนิดแยกส่วนผสมสองส่วน : สีทับหน้า,0,0,0,0,9,9,9,2025-11-01
2664-2557,สารเคลือบเงาพอลิยูรีเทนชนิดแยกส่วนผสมสองส่วนสำหรับยานยนต์,0,0,0,0,11,11,11,2025-11-01
2667-2558,แผ่นยางรองรางรถไฟ,0,0,0,0,1,1,1,2025-11-01
2668-2558,ยางล้อตันสำหรับรถฟอร์กลิฟต์,0,0,0,0,3,3,3,2025-11-01
2676-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับใช้งานทั่วไป,0,0,0,0,2,2,2,2025-11-01
2682-2563,เม็ดยางใช้ทำพื้นสังเคราะห์,0,0,0,0,6,5,6,2025-11-01
2683-2563,พื้นสังเคราะห์,0,0,0,0,14,12,14,2025-11-01
2685-2558,แผ่นอะคริลิกใช้งานทั่วไป : แผ่นหล่อต่อเนื่อง,0,0,0,0,1,1,1,2025-11-01
2689-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับโครงสร้างงานตกแต่ง,0,0,0,0,5,5,5,2025-11-01
27-2543,ถังก๊าซปิโตรเลียมเหลว,11,8,0,0,0,0,11,2025-11-01
2701-2559,ซีเมนต์ไฮดรอลิกเกร้าต์,0,0,0,0,4,4,4,2025-11-01
2703-2566,กาวซีเมนต์,0,0,0,0,19,16,19,2025-11-01
2706-2559,มอร์ตาร์สำหรับก่อคอนกรีตบล็อกมวลเบา,0,0,0,0,15,10,15,2025-11-01
2707-2560,ถังก๊าซ - ถังอะลูมิเนียมเจือมีรอยเชื่อมประเภทบรรจุก๊าซซ้ำ - การออกแบบ การสร้าง และการทดสอบ,0,0,0,0,1,1,1,2025-11-01
271-2563,บะหมี่กึ่งสำเร็จรูป,0,0,0,0,2,1,2,2025-11-01
2718-2560,ยางล้อแบบสูบลมสำหรับรถยนต์และส่วนพ่วง,20,17,590,100,0,0,610,2025-11-01
2719-2560,ยางล้อแบบสูบลม สำหรับรถยนต์เชิงพาณิชย์และส่วนพ่วง,24,20,420,116,0,0,444,2025-11-01
272-2564,สีอิมัลชันใช้งานทั่วไป,0,0,0,0,30,29,30,2025-11-01
2720-2560,ยางล้อแบบสูบลมสำหรับรถจักรยานยนต์และโมเปด,21,18,150,66,0,0,171,2025-11-01
2721-2560,ยางล้อสูบลม : ข้อกำหนดด้านเสียงจากยางล้อที่สัมผัสผิวถนน การยึดเกาะถนนบนพื้นเปียก และความต้านทานการหมุน,26,20,736,154,0,0,762,2025-11-01
2731-2559,แอสฟัลต์ซีเมนต์ปรับปรุงคุณภาพด้วยยางธรรมชาติ,0,0,0,0,12,9,12,2025-11-01
2733-2559,น้ำยางคอมพาวด์เคลือบผ้าปูสระกักเก็บน้ำ,0,0,0,0,2,2,2,2025-11-01
2735-2559,มอร์ตาร์สำหรับฉาบคอนกรีตมวลเบา,0,0,0,0,17,12,17,2025-11-01
2737-2559,กระจกอบแข็งด้วยความร้อน,0,0,0,0,4,4,4,2025-11-01
274-2565,แป้งมันสำปะหลัง,0,0,0,0,1,1,1,2025-11-01
2753-2567,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสี โดยกรรมวิธีจุ่มร้อนและเคลือบสี,0,0,0,0,4,4,4,2025-11-01
276-2562,ท่อเหล็กกล้าคาร์บอนชนิดทนความดัน,0,0,0,0,12,9,12,2025-11-01
2762-2559,ลูกถ้วยแยกสายไฟฟ้าพอร์ซเลนชนิดเคลือบเซรามิกพร้อมพอลิเมอร์ยึดสายไฟฟ้า,0,0,0,0,2,2,2,2025-11-01
2764-2559,ท่อลอนพอลิเอทิลีนเสริมเหล็ก,0,0,0,0,2,2,2,2025-11-01
2773-2560,รถตัดอ้อย,0,0,0,0,2,2,2,2025-11-01
2774-2560,กำมะถันสำหรับอุตสาหกรรมยาง,0,0,0,0,2,2,2,2025-11-01
2779-2562,หลอดแอลอีดีขั้วคู่ที่ออกแบบเพื่อเปลี่ยนทดแทนหลอดฟลูออเรสเซนซ์ชนิดตรง-คุณลักษณะที่ต้องการด้านความปลอดภัย,14,14,135,98,0,0,149,2025-11-01
2780-2562,หลอดแอลอีดีมีบัลลาสต์ในตัวสำหรับการให้แสงสว่างทั่วไป ด้วยแรงดันไฟฟ้ามากกว่า 50 V - คุณลักษณะที่ต้องการด้านความปลอดภัย,11,11,181,119,0,0,192,2025-11-01
279-2525,ลูกถ้วยก้านตรง : ปอร์ซเลน,0,0,0,0,2,1,2,2025-11-01
2817-2562,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็นเคลือบโลหะ สำหรับงานโครงสร้างทั่วไป,0,0,0,0,12,12,12,2025-11-01
2821-2560,พอลิอะลูมิเนียมคลอไรด์ชนิดผง,0,0,0,0,1,1,1,2025-11-01
284-2560,อะลูมิเนียมเจืออัดรีดขึ้นรูป,0,0,0,0,24,22,24,2025-11-01
287-2565,กระดาษพิมพ์และเขียน,0,0,0,0,3,3,3,2025-11-01
2879-2560,แบตเตอรี่สำรองไฟฟ้าสำหรับการใช้งานแบบพกพา - คุณลักษณะที่ต้องการด้านความปลอดภัย,12,10,171,109,0,0,183,2025-11-01
2892-2563,ซีเมนต์ยาแนวสำหรับกระเบื้องเซรามิก,0,0,0,0,1,1,1,2025-11-01
2895-2564,คอนกรีตบล็อกเชิงตันไม่รับน้ำหนัก,0,0,0,0,5,5,5,2025-11-01
2900-2561,แท่นพลาสติกกั้นจราจร,0,0,0,0,2,1,2,2025-11-01
291 เล่ม 1-2530,สลักเกลียวหัวหกเหลี่ยม เล่ม 1 ผลิตภัณฑ์ขั้น A และ B,0,0,0,0,1,1,1,2025-11-01
2915-2561,รถจักรยานยนต์เฉพาะด้านความปลอดภัย - สารมลพิษจากเครื่องยนต์ ระดับที่ 7,30,19,39,14,0,0,69,2025-11-01
2916-2561,ยางมะตอยผสมสำเร็จ,0,0,0,0,4,4,4,2025-11-01
2917-2561,ท่อพอลิเอทิลีนผนังโครงสร้างแบบเรียบสำหรับงานท่อใต้ดิน,0,0,0,0,2,2,2,2025-11-01
2919-2561,คอนกรีตผสมเสร็จสำหรับสภาพแวดล้อมทางทะเล,0,0,0,0,11,10,11,2025-11-01
2921-2562,ภาชนะและเครื่องใช้เมลามีน-ฟอร์แมลดีไฮด์ ยูเรีย-ฟอร์แมลดีไฮด์ และเมลามีน-ยูเรีย-ฟอร์แมลดีไฮด์ สำหรับอาหาร: เฉพาะด้านความปลอดภัย,12,12,32,29,0,0,44,2025-11-01
293-2541,สายไฟฟ้าอะลูมิเนียมหุ้มด้วยฉนวนโพลิไวนิลคลอไรด์,41,32,8,5,0,0,49,2025-11-01
2948-2562,กระดาษสัมผัสอาหาร,0,0,0,0,7,7,7,2025-11-01
2952-2561,ยานยนต์ประเภท L : คุณลักษณะเฉพาะสำหรับระบบส่งกำลังด้วยไฟฟ้า,0,0,0,0,2,2,2,2025-11-01
2959-2562,เทอร์โมฟอร์มิงรับเบอร์,0,0,0,0,1,1,1,2025-11-01
2973-2562,พอลิเมอร์เสริมเส้นใย สำหรับงานโครงสร้างคอนกรีตไม่อัดแรง,0,0,0,0,2,2,2,2025-11-01
2979-2562,ยางล้อแบบสูบลมหล่อดอกซ้ำ สำหรับยานยนต์เชิงพาณิชย์และส่วนพ่วง,39,39,0,0,0,0,39,2025-11-01
2981-2567,เหล็กกล้าทรงแบนเคลือบสังกะสีผสมอะลูมิเนียม 5% ขึ้นไป และแมกนีเซียม 2% ขึ้นไป โดยกรรมวิธีจุ่มร้อน,0,0,0,0,1,1,1,2025-11-01
2982-2562,เหล็กกล้าทรงแบนรีดร้อนที่ต้านการกัดกร่อนในบรรยากาศ สำหรับงานโครงสร้างเชื่อมประกอบ,0,0,0,0,3,3,3,2025-11-01
2984-2562,ตู้น้ำดื่มหยอดเหรียญอัตโนมัติ,0,0,0,0,1,1,1,2025-11-01
3-2562,น้ำปลา,0,0,0,0,5,4,5,2025-11-01
30-2564,ไนทรัสออกไซด์ทางการแพทย์,4,4,0,0,0,0,4,2025-11-01
3000 เล่ม 1-2562,เครื่องเล่นสนามสาธารณะ เล่ม 1 ชิงช้า ข้อกำหนดเฉพาะเพิ่มเติมด้านความปลอดภัยและวิธีทดสอบ,8,8,8,7,0,0,16,2025-11-01
3000 เล่ม 2-2562,เครื่องเล่นสนามสาธารณะ เล่ม 2 กระดานลื่น ข้อกำหนดเฉพาะเพิ่มเติมด้านความปลอดภัย และวิธีทดสอบ,8,8,9,7,0,0,17,2025-11-01
3000 เล่ม 3-2563,เครื่องเล่นสนามสาธารณะ เล่ม 3 ม้าหมุน,7,7,9,8,0,0,16,2025-11-01
3000 เล่ม 4-2563,เครื่องเล่นสนามสาธารณะ เล่ม 4 อุปกรณ์โยก,8,8,12,10,0,0,20,2025-11-01
3002-2562,อุปกรณ์ควบคุมหลอด - คุณลักษณะที่ต้องการเฉพาะสำหรับอุปกรณ์ควบคุมอิเล็กทรอนิกส์ ที่ใช้แหล่งจ่ายไฟฟ้ากระแสตรงหรือไฟฟ้ากระแสสลับสำหรับมอดูลแอลอีดี,0,0,0,0,1,1,1,2025-11-01
3017-2563,รถยนต์ขนาดเล็กที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยประกายไฟ เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 10,10,9,46,20,1,1,57,2025-11-01
3018-2563,รถยนต์ขนาดเล็กที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยการอัด เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 8,11,9,15,7,0,0,26,2025-11-01
3024 เล่ม 1-2563,ส่วนประกอบระบบป้องกันฟ้าผ่า (LPSC) เล่ม 1 คุณลักษณะที่ต้องการสำหรับส่วนประกอบเชื่อมต่อ,0,0,0,0,1,1,1,2025-11-01
3024 เล่ม 2-2563,ส่วนประกอบระบบป้องกันฟ้าผ่า (LPSC) เล่ม 2 คุณลักษณะที่ต้องการสำหรับตัวนำและหลักดิน,0,0,0,0,2,1,2,2025-11-01
