ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
280,2529-2555,สีจราจรชนิดน้ำ,Water borne traffic paint,ทั่วไป,0,0,0,0,8,6,8
281,258-2521,แหวนรองแบบเรียบ,Plain washers,ทั่วไป,0,0,0,0,8,7,8
282,2610-2556,ยูนิตทำฟัน,Dental units,ทั่วไป,0,0,0,0,8,7,8
283,2619-2556,กระเบื้องคอนกรีตเสริมประกอบสำหรับมุงหลังคา,Concrete Fitting for roofing,ทั่วไป,0,0,0,0,8,5,8
284,2662-2557,สีพ่นยานยนต์พอลิยูรีเทนชนิดแยกส่วนผสมสองส่วน : สีพื้นรองทับหน้า,Two-pack polyurethane paint for vehicles :primer surfacer,ทั่วไป,0,0,0,0,8,8,8
285,625-2559,ถุงยางอนามัยชายจากน้ำยางธรรมชาติ - คุณลักษณะที่ต้องการและวิธีทดสอบ,Natural rubber latex male condoms -- Requirements and test methods,ทั่วไป,0,0,0,0,8,6,8
286,1390-2560,เข็มพืดเหล็กกล้ารีดร้อน,Hot rolled steel sheet piles,บังคับ,1,1,7,6,0,0,8
287,150-2562,โซเดียมไฮดรอกไซด์สำหรับอุตสาหกรรม,Sodium hydroxide for industrial uses,ทั่วไป,0,0,0,0,8,6,8
288,1024-2563,อาร์กอน,Argon,ทั่วไป,0,0,0,0,8,5,8
289,3043-2563,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยประกายไฟที่ใช้ก๊าซธรรมชาติหรือก๊าซปิโตรเลียมเหลวเป็นเชื้อเพลิง เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 3,"Heavy motor vehicle equipped with possitive ignition engines engines fuelled with natural gas or liquefied petroleum gas : safety requirements; emission from engine, level 3",บังคับ,0,0,8,7,0,0,8
290,2623 เล่ม 7(2)-2564,ลูกถ้วยไฟฟ้า เล่ม 7(2) ลูกถ้วยหลักก้านตรงรับสายไฟฟ้า : พอร์ซเลน,Electrical power insulators Part 7(2) Pin post type - Porcelain insulators,ทั่วไป,0,0,0,0,8,8,8
291,2150-2564,พอลิอะลูมิเนียมคลอไรด์ชนิดเหลว,Liquid polyaluminium chloride,ทั่วไป,0,0,0,0,8,8,8
292,3656-2566,กล่องลวดตาข่าย,GABIONS AND MATTRESSES,ทั่วไป,0,0,0,0,8,8,8
293,219-2566,แผ่นยิปซัม,GYPSUM PLASTERBOARDS,ทั่วไป,0,0,0,0,8,6,8
294,18-2529,กระเบื้องซีเมนต์ใยหินแผ่นลอน : ลอนลูกฟูก,Asbestos-cement corrugated sheets,ทั่วไป,0,0,0,0,7,4,7
295,217-2556,กรดไฮโดรคลอริกสำหรับอุตสาหกรรม,Hydrochloric acid for industrial use,ทั่วไป,0,0,0,0,7,6,7
296,2337-2557,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ : คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,Ballasts for tubular fluorescent lamps: Energy efficiency requirements,บังคับ,3,3,4,3,0,0,7
297,2377-2559,แผ่นยางปูพื้น,Rubber flooring,ทั่วไป,0,0,0,0,7,7,7
298,257-2549,น้ำบริโภค,Drinking water,ทั่วไป,0,0,0,0,7,5,7
299,321-2560,กระดาษทำลูกฟูก,Corrugating medium,ทั่วไป,0,0,0,0,7,6,7
300,468-2550,ไวต์สปิริตสำหรับสีและวาร์นิช,White spirit for paint and varnish,ทั่วไป,0,0,0,0,7,6,7
301,479-2541,วัสดุยารอยต่อคอนกรีตแบบยืดหยุ่นชนิดเทร้อน,"Concrete joint sealer, hot-poured elastic type",ทั่วไป,0,0,0,0,7,6,7
302,521-2527,กาวยาง,Rubber-based adhesive,ทั่วไป,0,0,0,0,7,7,7
303,561-2549,สีแล็กเกอร์ไนโตรเซลลูโลส,Nitrocellulose lacquer enamel,ทั่วไป,0,0,0,0,7,7,7
304,731-2532,ลวดเชื่อมมีสารพอกหุ้มใช้เชื่อมพอกผิวเหล็กกล้าด้วยอาร์ก,Covered electrodes for depositing on steel surface,ทั่วไป,0,0,0,0,7,2,7
305,733-2530,สารเคมีผสมเพิ่มสำหรับคอนกรีต,Chemical admixtures for concrete,ทั่วไป,0,0,0,0,7,5,7
306,803-2531,เชือกลวดเหล็กกล้าสำหรับลิฟต์,Steel wire ropes for lifts,ทั่วไป,0,0,0,0,7,3,7
307,97-2557,ผ้าเบรกสำหรับยานยนต์,Brake linings for vehicles,ทั่วไป,0,0,0,0,7,4,7
308,2623 เล่ม 2(1)-2560,ลูกถ้วยแขวนในระบบจำหน่ายไฟฟ้า : พอร์ซเลน,Distribution suspension type porcelain insulators,ทั่วไป,0,0,0,0,7,7,7
309,49-2560,ลวดเชื่อมไฟฟ้ามีสารพอกหุ้มใช้เชื่อมเหล็กกล้าไม่เจือและเกรนละเอียดด้วยการเชื่อมอาร์กโลหะด้วยมือ,Covered electrodes for manual metal arc welging of non-alloy and fine grain steels,ทั่วไป,0,0,0,0,7,6,7
310,113-2562,ตะปูเหล็ก,Steel nails,ทั่วไป,0,0,0,0,7,7,7
311,2948-2562,กระดาษสัมผัสอาหาร,Paper for food contact,ทั่วไป,0,0,0,0,7,7,7
312,2149-2546,ก๊อกน้ำติดผนังสำหรับห้องน้ำ,Wall-faucets for bathroom,ทั่วไป,0,0,0,0,7,5,7
313,60335 เล่ม 2(37)-2564,ความปลอดภัยของเครื่องใช้ไฟฟ้าสำหรับใช้ในที่อยู่อาศัยและเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน เล่ม 2(37) ข้อกำหนดเฉพาะสำหรับเครื่องทอดโดนัทเชิงพาณิชย์และเครื่องทอดน้ำมันท่วมเชิงพาณิชย์,Household and similar electrical appliances - Safety - Part 2-37: Particular requirements for commercial electric doughnut fryers and deep fat fryers,บังคับ,0,0,7,5,0,0,7
314,2623 เล่ม 9-2564,ลูกถ้วยไฟฟ้า เล่ม 9 ลูกถ้วยหลักรับอุปกรณ์: พอร์ซเลน,"Electrical power insulators Part 9 Apparatus, post type - porcelain insulators",ทั่วไป,0,0,0,0,7,7,7
315,2341-2564,สายไฟฟ้าอากาศตัวนำอะลูมิเนียมหุ้มฉนวนและเปลือกครอสลิงกด์พอลิเอทิลีน สำหรับแรงดันไฟฟ้าที่กำหนด 25 kV และ 35 kV,Aluminium space aerial power cables with XLPE insulated and sheathed for rated voltages of 25 kv and 35 kv,ทั่วไป,0,0,0,0,7,7,7
316,816-2565,พอลิเอทิลีนเรซิน,Polyethylene resin,ทั่วไป,0,0,0,0,7,3,7
317,153-2565,อิฐกลวงก่อแผงไม่รับน้ำหนัก,Structural clay nonloadbearing screen tiles,ทั่วไป,0,0,0,0,7,7,7
318,797-2565,เครื่องสุขภัณฑ์เซรามิก : อุปกรณ์ห้องน้ำ,Ceramic sanitary wares: bathroom accessories,ทั่วไป,0,0,0,0,7,7,7
319,3778 เล่ม 1-2567,บันไดเลื่อน และทางเลื่อนอัตโนมัติ ข้อกำหนดด้านความปลอดภัย เล่ม 1 ข้อกำหนดสากลด้านความปลอดภัยที่จำเป็น (GESR),SAFETY REQUIREMENTS FOR ESCALATORS AND MOVING WALKS PART 1: GLOBAL ESSENTIAL SAFETY REQUIREMENTS (GESR),บังคับ,1,1,6,6,0,0,7
320,1122-2546,เก้าอี้ผู้ปฏิบัติการทันตกรรม,Dental operator's stool,ทั่วไป,0,0,0,0,6,5,6
321,1277-2555,ก๊อกน้ำสำหรับอ่างล้างชาม,Sink faucets,ทั่วไป,0,0,0,0,6,2,6
322,1878-2550,เครื่องจ่ายเชิงพาณิชย์และเครื่องขายสินค้าอัตโนมัติ เฉพาะด้านความปลอดภัย,Household and similar electrical appliance - sefety,ทั่วไป,0,0,0,0,6,2,6
323,408-2553,ทองแดงและทองแดงเจือสำหรับจุดประสงค์ทั่วไปทางไฟฟ้า : เส้น และแท่ง,Copper and copper alloys for general electrical purposes : rod and bar,บังคับ,3,3,3,1,0,0,6
324,778-2531,โครงบานเกล็ดหน้าต่างปรับได้,Frame sets for adjustable louvre window,ทั่วไป,0,0,0,0,6,6,6
325,998-2553,ภาชนะพลาสติกสำหรับบรรจุน้ำบริโภค,Plastic containers for drinking water,ทั่วไป,0,0,0,0,6,5,6
326,999-2533,ท่อพีวีซีแข็งสำหรับใช้ในงานอุตสาหกรรม,Unplasticized polyvinyl chloride pipes for industrial use,ทั่วไป,0,0,0,0,6,3,6
327,902 เล่ม 2(22)-2560,ดวงโคมไฟฟ้าฉุกเฉิน,Emergency luminaires,ทั่วไป,0,0,0,0,6,4,6
328,4 เล่ม 1-2558,หลอดไฟฟ้าไส้ทังสเตนสำหรับใช้ในที่อยู่อาศัยและที่มีจุดประสงค์ให้แสงสว่างทั่วไปที่คล้ายกัน เล่ม 1 คุณลักษณะที่ต้องการด้านความปลอดภัย,Tungsten filament lamps for domestics and similar lighting purpose Part 1 Safety specification,บังคับ,2,2,4,4,0,0,6
329,138-2562,ลวดผูกเหล็ก,Steel binding wires,ทั่วไป,0,0,0,0,6,6,6
330,207-2562,คลอรีนเหลว,Liquid chlorine,ทั่วไป,0,0,0,0,6,5,6
331,989-2562,ถังเหล็กกล้าไร้สนิมสำหรับเก็บน้ำ,Stainless steel water tanks,ทั่วไป,0,0,0,0,6,6,6
332,2682-2563,เม็ดยางใช้ทำพื้นสังเคราะห์,Rubber granules for synthetic surfaces,ทั่วไป,0,0,0,0,6,5,6
333,133-2562,ปูนซีเมนต์ปอร์ตแลนด์ขาว,White portland cement,บังคับ,1,1,5,5,0,0,6
334,3250-2564,ตัวแยกสายชนิดพอลิเมอร์พร้อมอุปกรณ์จับยึดสายไฟฟ้า,Polymer cable spacers with clamps,ทั่วไป,0,0,0,0,6,6,6
335,3246-2564,ไนโตรเจนทางการแพทย์,Medical nitrogen,ทั่วไป,0,0,0,0,6,2,6
336,1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,"Heavy duty diesel engined vehicles: Safety requirements; emission from engine, level 1",ทั่วไป,0,0,0,0,5,1,5
337,1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,Precast reinforced concrete drainage manholes,ทั่วไป,0,0,0,0,5,5,5
338,1253-2537,เครื่องเรือนอเนกประสงค์ : เก้าอี้โลหะ,Multi-purpose furniture: metal chairs,ทั่วไป,0,0,0,0,5,3,5
339,1377-2555,ก๊อกน้ำปิดอัตโนมัติสำหรับอ่างล้างหน้า-ล้างมือ,Self-closing faucets for wash basins,ทั่วไป,0,0,0,0,5,2,5
340,1521-2541,กาวสำหรับกระดาษ,Paper adhesives,ทั่วไป,0,0,0,0,5,3,5
341,158-2518,กระเบื้องดินเผามุงหลังคา,Clay plain roofing tiles,ทั่วไป,0,0,0,0,5,3,5
342,176-2561,น้ำมันถั่วเหลืองสำหรับบริโภค,Edible soybean oil,ทั่วไป,0,0,0,0,5,3,5
343,2224-2548,ผลิตภัณฑ์ขจัดคราบน้ำมัน,Oil spill cleanup products,ทั่วไป,0,0,0,0,5,5,5
344,2261-2549,เสื้อชั้นในชาย,Knitted underclothes for men,ทั่วไป,0,0,0,0,5,5,5
345,23-2558,บัลลาสต์สำหรับหลอดฟลูออเรสเซนซ์ - คุณลักษณะที่ต้องการด้านความปลอดภัย,Ballast for fluorescent lamps : safety requirements,บังคับ,3,3,2,2,0,0,5
346,2311-2549,ถังบรรจุก๊าซ-ถังทนความดันสูงสำหรับบรรจุก๊าซธรรมชาติที่ใช้เป็นเชื้อเพลิงสำหรับพาหนะรถยนต์,Gas cylinders - high pressure cylinders for the on-board storage of natural gas as a fuel for automotive vehicles,ทั่วไป,0,0,0,0,5,2,5
347,236-2548,หลอดฟลูออเรสเซนซ์ขั้วคู่,Double - capped fluorescent lamps,ทั่วไป,0,0,0,0,5,2,5
348,2689-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับโครงสร้างงานตกแต่ง,Austenitic Stainless steel tubes for decoration structure,ทั่วไป,0,0,0,0,5,5,5
349,562-2549,แล็กเกอร์ใสไนโตรเซลลูโลส,Clear lacquer nitrocellulose,ทั่วไป,0,0,0,0,5,5,5
350,572-2528,พัดลมไฟฟ้ากระแสสลับชนิดส่ายรอบตัว,A.C. electric double-oscillating type fans,ทั่วไป,0,0,0,0,5,4,5
351,596-2531,กลอน : ทองเหลืองและอะลูมิเนียมชนิดอัดรีด,Door bolts: extruded brass and extruded aluminium,ทั่วไป,0,0,0,0,5,3,5
352,716-2532,ลวดเย็บกระดาษ,Standard for Staples,ทั่วไป,0,0,0,0,5,2,5
353,727-2551,สีโคลทาร์อีพ็อกซี,Coal tar epoxy paints,ทั่วไป,0,0,0,0,5,5,5
354,732-2531,ลวดเชื่อมมีสารพอกหุ้มใช้เชื่อมเหล็กหล่อด้วยอาร์ก,Covered electrodes for arc welding of cast iron,ทั่วไป,0,0,0,0,5,3,5
355,951-2533,แผ่นยางรองสะพาน,Rubber bridge bearings,ทั่วไป,0,0,0,0,5,3,5
356,1394-2561,สายดูดเสมหะสำหรับใช้ครั้งเดียว,Suction catheters for use in the respirator tract for single use,ทั่วไป,0,0,0,0,5,5,5
357,915 เล่ม 2-2562,วาล์วถังก๊าซปิโตรเลียมเหลว เล่ม 2 แบบมือหมุน,Specifications and testing of LPG cylinder valves Part 2 : manually operated,ทั่วไป,0,0,0,0,5,3,5
358,182-2562,สำลีที่ใช้ในการแพทย์,Absorbent cotton for medical purposes,ทั่วไป,0,0,0,0,5,5,5
359,3-2562,น้ำปลา,Fish sauce,ทั่วไป,0,0,0,0,5,4,5
360,2623 เล่ม 4-2563,ลูกถ้วยไฟฟ้า เล่ม 4 : ลูกถ้วยยึดโยง: พอร์ซเลน,Electrical power insulators Part 4: Strain type-Porcelain insulators,ทั่วไป,0,0,0,0,5,5,5
361,744-2563,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง: หน้าต่างอะลูมิเนียม,Metal frames and panel frames for doors and windows : aluminium windows,ทั่วไป,0,0,0,0,5,5,5
362,1513-2563,สีย้อมเคลือบไม้ชนิดตัวทำละลาย,Solvent-based wood stain coating,ทั่วไป,0,0,0,0,5,5,5
363,3202-2564,คอนกรีตแห้งสำเร็จรูป,Dry premixed concrete,ทั่วไป,0,0,0,0,5,4,5
364,2895-2564,คอนกรีตบล็อกเชิงตันไม่รับน้ำหนัก,Solid nonloadbearing concrete masonry units,ทั่วไป,0,0,0,0,5,5,5
365,1306-2566,พอลิโพรพิลีนเรซิน,POLYPROPYLENE RESIN,ทั่วไป,0,0,0,0,5,3,5
366,353-2566,ตู้เหล็กใช้ในสำนักงานแบบประตู,DOOR-TYPE OFFICE STEEL CABINET,ทั่วไป,0,0,0,0,5,5,5
367,1097-2556,สีอะคริลิกเคลือบกระเบื้องซีเมนต์เส้นใยมุงหลังคา,Acrylic coating used in fibre cement roof tile,ทั่วไป,0,0,0,0,4,4,4
368,1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,Thermosetting laminated sheets,ทั่วไป,0,0,0,0,4,2,4
369,1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,Office furniture: steel desks,ทั่วไป,0,0,0,0,4,2,4
370,127-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งพื้น,A.C. electric fans: pedestal types,ทั่วไป,0,0,0,0,4,3,4
371,1413-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบลิ้นหุ้มยางสำหรับงานประปา,Cast iron rubber-seated gate valves for water services,ทั่วไป,0,0,0,0,4,3,4
372,1420-2551,ไส้กรองความขุ่นสำหรับเครื่องกรองน้ำดื่ม,Turbidity filter cartridges for drinking water filters,ทั่วไป,0,0,0,0,4,4,4
373,1485-2540,ท่อไฟเบอร์กลาสส์ไม่รับความดันสำหรับงานอุตสาหกรรมและงานระบายน้ำเสีย,Fibreglass non-pressure pipes for industrial and sewerage services,ทั่วไป,0,0,0,0,4,3,4
374,205-2530,พัดลมไฟฟ้ากระแสสลับชนิดแขวนเพดาน,A.C. electric ceiling type fans,ทั่วไป,0,0,0,0,4,2,4
375,2109 เล่ม 2-2559,ฟิวส์แรงดันไฟฟ้าต่ำ เล่ม 2 คุณลักษณะที่ต้องการเพิ่มเติมสำหรับฟิวส์ที่ใช้โดยบุคคลที่ได้รับอนุญาต (ฟิวส์สำหรับใช้ในงานอุตสาหกรรมเป็นหลัก) - ตัวอย่างของระบบฟิวส์มาตรฐาน A ถึง K,Low-voltage fuses-part 2 : Supplementary requirements for fuses for use by authorized persons (fuses mainly for industrial application) - examples of standized systems of fuses Ato K,ทั่วไป,0,0,0,0,4,4,4
376,2312-2549,เตาหุงต้มในครัวเรือนใช้กับก๊าซปิโตรเลียมเหลว,Domestic gas stoves for use with liquefied petroleum gas,ทั่วไป,0,0,0,0,4,3,4
377,251-2554,ผ้าโปร่งดูดซึม ผ้าพันแผล และผ้าซับ,"Absorbent gauze, gauze bandages and gauze pads",ทั่วไป,0,0,0,0,4,4,4
378,2559-2554,พอลิเอทิลีนคอมพาวนด์สำหรับผลิตท่อน้ำดื่ม,Polyethelene compound for drinking water pipe production,ทั่วไป,0,0,0,0,4,3,4
379,2599-2556,ถุงเท้าใช้งานหนัก,Heavy purpose socks,ทั่วไป,0,0,0,0,4,4,4
380,2701-2559,ซีเมนต์ไฮดรอลิกเกร้าต์,Hydraulic - cement grout,ทั่วไป,0,0,0,0,4,4,4
381,2737-2559,กระจกอบแข็งด้วยความร้อน,Heat - Strengthened glass,ทั่วไป,0,0,0,0,4,4,4
382,334-2528,โซ่รถจักรยานยนต์,Motorcycle chains,ทั่วไป,0,0,0,0,4,3,4
383,356-2531,น้ำมันเครื่อง,Internal combustion engine lubricating oil,ทั่วไป,0,0,0,0,4,1,4
384,357-2551,สีรองพื้นสำหรับงานไม้,Priming paint for wood,ทั่วไป,0,0,0,0,4,3,4
385,379-2556,กระเบื้องหินขัดชนิดสองชั้น,Dual -layer terrazzo tiles,ทั่วไป,0,0,0,0,4,4,4
386,518-2527,ตู้เหล็กเก็บเอกสารกันไฟแบบลิ้นชัก,Fire resistant filing cabinet,ทั่วไป,0,0,0,0,4,3,4
387,659-2529,เหล็กฉากเจาะรู,Slotted steel angles,ทั่วไป,0,0,0,0,4,4,4
388,769-2533,ผ้ามุ้ง,Mosquito nets,ทั่วไป,0,0,0,0,4,4,4
389,872-2532,หม้อกรองน้ำมันเครื่องชนิดถอดเปลี่ยนทั้งชุดสำหรับรถยนต์,Throwaway type oil filters for automobile,ทั่วไป,0,0,0,0,4,3,4
390,921-2551,โต๊ะเทเบิลเทนนิส,Table-tennis tables,ทั่วไป,0,0,0,0,4,4,4
391,2386-2555,สีรองพื้นกันสนิมซิงก์ฟอสเฟต,Anticorrosive zinc phosphate priming paint,ทั่วไป,0,0,0,0,4,4,4
392,2916-2561,ยางมะตอยผสมสำเร็จ,Ready premixed asphalt,ทั่วไป,0,0,0,0,4,4,4
393,1326-2560,เครื่องเรือนสำหรับที่พักอาศัย : ตู้เหล็กเก็บเสื้อผ้า,Domestic furniture : steel wardrobe,ทั่วไป,0,0,0,0,4,4,4
394,1496-2560,เครื่องเรือนสำหรับสำนักงาน : ชุดตู้เหล็กเลื่อน,Office furniture : Sliding steel cabinet set,ทั่วไป,0,0,0,0,4,4,4
395,538-2560,ถุงมือยางปราศจากเชื้อสำหรับการศัลยกรรมชนิดใช้ครั้งเดียว,Single-Use Sterile Rubber Surgical Gloves,ทั่วไป,0,0,0,0,4,4,4
396,60-2560,คอนกรีตบล็อกเชิงตันรับน้ำหนัก,Solid loadbearing concrete masonry units,ทั่วไป,0,0,0,0,4,4,4
397,940-2562,ลูกฟุตบอล,Balls for soccer,ทั่วไป,0,0,0,0,4,4,4
398,2329-2562,ลูกฟุตซอล,Balls for futsal,ทั่วไป,0,0,0,0,4,4,4
399,941-2563,ลูกบาสเกตบอล,Balls for basketball,ทั่วไป,0,0,0,0,4,4,4
400,942-2563,ลูกวอลเลย์บอล,Balls for volleyball,ทั่วไป,0,0,0,0,4,4,4
401,3078-2563,มาตรวัดน้ำ,Water meter,ทั่วไป,0,0,0,0,4,4,4
402,30-2564,ไนทรัสออกไซด์ทางการแพทย์,Medical nitrous oxide,บังคับ,4,4,0,0,0,0,4
403,640 เล่ม 1-2564,เอทานอลใช้ทางเภสัชกรรม,Ethanol for pharmaceutical use,ทั่วไป,0,0,0,0,4,4,4
404,1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,Paper cups for beverage,ทั่วไป,0,0,0,0,4,4,4
405,3412-2565,ถังก๊าซปิโตรเลียมเหลวสำหรับรถโฟล์คลิฟท์: ถังโลหะ,Liquefied petroleum gas container for forklift: Metallic cylinder,ทั่วไป,0,0,0,0,4,3,4
406,539-2564,คาร์บอนไดออกไซด์ทางการแพทย์,Medical carbondioxide,บังคับ,4,3,0,0,0,0,4
407,2753-2567,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสี โดยกรรมวิธีจุ่มร้อนและเคลือบสี,PREPAINTED HOT-DIP 55% ALUMINIUM/ZINC-COATED FLAT STEEL ,ทั่วไป,0,0,0,0,4,4,4
408,1023-2534,ผลิตภัณฑ์ลบคำผิดสำหรับกระดาษพิมพ์และเขียน,Printing and writing paper correction fluid,ทั่วไป,0,0,0,0,3,3,3
409,1053-2534,ชุดระบายน้ำพื้น,Floor drains,ทั่วไป,0,0,0,0,3,2,3
410,1115-2535,แฟ้มกระดาษ,Paper folders and files,ทั่วไป,0,0,0,0,3,3,3
411,1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,Rollers for aluminium sliding doors and windows,ทั่วไป,0,0,0,0,3,3,3
412,1147-2549,ดินสอสี,Coloured pencils,ทั่วไป,0,0,0,0,3,3,3
413,1230-2537,จานเรซินอยด์สำหรับตัด,Resinoid cut-off wheels,ทั่วไป,0,0,0,0,3,3,3
414,1237-2537,ฝาและขอบบ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จ,Precast reinforced concrete covers and frames for manholes,ทั่วไป,0,0,0,0,3,3,3
415,1245-2553,สารอัดแบบเมลามีนฟอร์แมลดีไฮด์,Melamine-formaldehyde moulding compounds,ทั่วไป,0,0,0,0,3,3,3
416,126-2548,ข้อต่อซีเมนต์ใยหินชนิดทนความดัน,Asbestos cement pressure couplings,ทั่วไป,0,0,0,0,3,2,3
417,1303-2538,เหล็กโครงสร้างรูปพรรณเชื่อมประกอบ,Welded structural steel sections,ทั่วไป,0,0,0,0,3,3,3
418,1419-2540,เครื่องกรองน้ำชนิดใช้ถ่านกัมมันต์เม็ดและเรซินแลกเปลี่ยนแคตไอออน,Water filter : Granular activated carbon and cation exchange resin type,ทั่วไป,0,0,0,0,3,3,3
419,1510-2541,แผ่นคอนกรีตมวลเบาเสริมเหล็กแบบมีฟองอากาศ-อบไอน้ำ,Autoclaved aerated reinforced lightweight concrete panels,ทั่วไป,0,0,0,0,3,2,3
420,1569-2541,วงกบโพลิเอสเตอร์เสริมใยแก้วสำหรับประตู,Fibreglass reinforced polyester frames for doors,ทั่วไป,0,0,0,0,3,3,3
421,1677-2541,แท่นประทับตรา,Stamp pads,ทั่วไป,0,0,0,0,3,2,3
422,1745-2547,ผลิตภัณฑ์ซักผ้าชนิดเหลว,Liquid laundry detergent product,ทั่วไป,0,0,0,0,3,3,3
423,188-2547,ปูนยิปซัมสำหรับการก่อสร้าง,Gypsum plaster for building purpose,ทั่วไป,0,0,0,0,3,2,3
424,2151-2555,พอลิยูรีเทนเคลือบผิวชนิดแยกส่วนผสมสองส่วนใช้งานทั่วไป,Two-package polyurethane coating for general purpose,ทั่วไป,0,0,0,0,3,3,3
425,2226-2548,แผ่นผนังคอนกรีตสำเร็จรูป,Precast concrete wall panels,ทั่วไป,0,0,0,0,3,3,3
426,2241-2548,สีเคลือบเงาอะคริลิกเรซิน,Acrylic resin enamel,ทั่วไป,0,0,0,0,3,3,3
427,2356-2550,แผ่นพีวีซีโฟมแข็ง,Rigid polyvinyl chloride foam sheets,ทั่วไป,0,0,0,0,3,3,3
428,2391-2551,สารละลายเฟร์ริกคลอไรด์,Ferric chloride solution,ทั่วไป,0,0,0,0,3,3,3
429,2438-2552,ที่นอนโฟมพอลิสไตรีน,Polystyrene foam mattresses,ทั่วไป,0,0,0,0,3,2,3
430,2481-2552,เครื่องขูดหินน้ำลายไฟฟ้า,Electrical-powered scalers,ทั่วไป,0,0,0,0,3,3,3
431,2507-2553,ยางกันเรือกระแทกรูปตัวดีและรูปจัตุรัส,Marine rubber fenders : d-shape and square shape,ทั่วไป,0,0,0,0,3,3,3
432,2668-2558,ยางล้อตันสำหรับรถฟอร์กลิฟต์,Forklift solid tyres,ทั่วไป,0,0,0,0,3,3,3
433,438-2556,ถุงเท้าใช้งานทั่วไป,General purpose sock,ทั่วไป,0,0,0,0,3,3,3
434,439-2556,ถุงเท้านักเรียน,School socks,ทั่วไป,0,0,0,0,3,3,3
435,444-2549,วุ้นเส้น,Bean vermicelli,ทั่วไป,0,0,0,0,3,2,3
436,507-2527,ฟิวส์สำหรับใช้ในที่อยู่อาศัยและงานที่คล้ายคลึงกัน : ตัวยึดฟิวส์,Fuses for domestic and similar purposes: fuse holder,ทั่วไป,0,0,0,0,3,2,3
437,547-2541,อิฐทนไฟไฟร์เคลย์,Fireclay refractory bricks,ทั่วไป,0,0,0,0,3,2,3
438,605-2552,ผลิตภัณฑ์ชำระล้าง,Washing products,ทั่วไป,0,0,0,0,3,3,3
439,640 เล่ม 2-2561,เอทานอลใช้ทางอุตสาหกรรมทั่วไป,Ethanol for industrial use,ทั่วไป,0,0,0,0,3,3,3
440,660-2529,บันไดอะลูมิเนียม,Aluminium ladders,ทั่วไป,0,0,0,0,3,3,3
441,718-2530,แบตเตอรี่ชนิดตะกั่ว-กรดใช้ประจำที่,Stationary lead acid storage batteries,ทั่วไป,0,0,0,0,3,3,3
442,729-2553,กระสอบพลาสติก,Plastic sacks,ทั่วไป,0,0,0,0,3,3,3
443,81-2548,ท่อซีเมนต์ใยหินชนิดทนความดัน,Asbestos cement pressure pipes,ทั่วไป,0,0,0,0,3,2,3
444,836-2534,โพลิสไตรีนเรซิน,Polystyrene resin,ทั่วไป,0,0,0,0,3,1,3
445,730-2558,วัสดุเชื่อมสิ้นเปลือง - ลวดเชื่อมไฟฟ้ามีสารพอกหุ้มใช้เชื่อมเหล็กกล้าไร้สนิม และเหล็กกล้าทนความร้อนด้วยการเชื่อมอาร์กโลหะด้วยมือ - การจำแนกประเภท,Welding consumables - Covered electrodes for manual metal arc welding stainless and heat-resisting steels - Classification,ทั่วไป,0,0,0,0,3,2,3
446,59-2561,อิฐคอนกรีต,Concrete building brick,ทั่วไป,0,0,0,0,3,3,3
447,2623 เล่ม 2(2)-2560,ลูกถ้วยแขวนในระบบส่งไฟฟ้า : พอร์ซเลน,Transmission suspension type porcelain insulators,ทั่วไป,0,0,0,0,3,3,3
448,55-2562,เหล็กเส้นแบนและสี่เหลี่ยมจัตุรัส,Flat and square steel bars,ทั่วไป,0,0,0,0,3,2,3
