ลำดับ,เลขที่ มอก.,ชื่อ มอก. ภาษาไทย,ชื่อ มอก. ภาษาอังกฤษ,ประเภทมาตรฐาน,จำนวนใบอนุญาตทำ,จำนวนผู้ประกอบการทำ,จำนวนใบอนุญาตนำเข้า,จำนวนผู้ประกอบการนำเข้า,จำนวนใบอนุญาตแสดง,จำนวนผู้ประกอบการแสดง,จำนวนใบอนุญาตทั้งหมด
49,11 เล่ม 3-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 3 สายไฟฟ้าไม่มีเปลือกสำหรับงานติดตั้งยึดกับที่,Polyvinyl chloride insulated cables of rated voltages up to and including 450/750 v - Part 3: non-sheathed cables for fixed wiring,บังคับ,108,55,28,22,0,0,136
50,332-2537,เครื่องดับเพลิงยกหิ้วชนิดผงเคมีแห้ง,Dry chemical portable fire extinguishers,บังคับ,120,27,16,9,0,0,136
51,369-2557,หมวกนิรภัยสำหรับผู้ใช้รถจักรยานยนต์,Protective helmets for vehicle users,บังคับ,28,26,108,55,0,0,136
52,2228-2565,เหล็กกล้าทรงแบนเคลือบอะลูมิเนียม 55% ผสมสังกะสีโดยกรรมวิธีจุ่มร้อน,Hot-dip 55% aluminium/zinc-coated cold-rolled flat steel,บังคับ,28,22,101,57,2,2,131
53,655 เล่ม 3-2554,ภาชนะและเครื่องใช้พลาสติกสำหรับอาหาร เล่ม 3 อะคริโลไนไทรล์-บิวทะไดอีน-สไตรีน และสไตรีน-อะคริโลไนไทรล์,Plastic utensils for food part 3 acrylonitrile-butadiene-styrene and styrene-acrylonitrile,บังคับ,30,29,100,45,0,0,130
54,1884-2564,เหล็กกล้าทรงแบนรีดร้อน ทนแรงดึงสูงที่ปรับปรุงสมบัติการขึ้นรูป สำหรับงานโครงสร้างรถยนต์,Hot - rolled high strength steel coil strip plate and sheet with improved formability for automobile structural uses,บังคับ,30,22,99,33,0,0,129
55,2140-2560,เหล็กกล้าทรงแบนรีดเย็น สำหรับงานรถยนต์,Cold Reduced Flat Steel For Auto Mobile Uses,บังคับ,36,24,91,33,0,0,127
56,11 เล่ม 5-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 5 สายอ่อน,Polyvinyl chloride insulated cables of rated voltages up to and including 450/750 v - Part 5: flexible cables (CORDS),บังคับ,95,54,30,20,0,0,125
57,1222-2560,กระจกนิรภัยหลายชั้น,Laminated safety glass,บังคับ,35,32,87,32,0,0,122
58,2214-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็ง สำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านความปลอดภัย,Household refrigerator and refrigerator-freezer safety requirement,บังคับ,14,10,106,38,0,0,120
59,740-2563,สีสังเคราะห์ : สีรีแอกทีฟ,Synthetic dyestuff : reactive dye,บังคับ,8,8,109,29,0,0,117
60,2223-2565,เหล็กกล้าทรงแบนเคลือบสังกะสี โดยกรรมวิธีทางไฟฟ้า,ELECTROLYTIC ZINC-COATED FLAT STEEL,บังคับ,47,36,70,43,0,0,117
61,1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,Air-cooled split type room air conditioners,ทั่วไป,0,0,0,0,116,18,116
62,540-2564,ออกซิเจนทางการแพทย์,Medical oxygen,บังคับ,114,98,0,0,0,0,114
63,880-2560,กระจกโฟลตใส,Clear float glass,บังคับ,8,4,101,39,0,0,109
64,2493 เล่ม 1-2554,ภาชนะพลาสติกบรรจุอาหารสำหรับเตาไมโครเวฟ เล่ม 1 สำหรับการอุ่น,Plastic food containers for microwave oven part 1 for reheating,บังคับ,66,64,40,25,0,0,106
65,2186-2561,ตู้เย็นและตู้เย็นแบบมีช่องแช่เยือกแข็งสำหรับใช้ในที่อยู่อาศัย ข้อกำหนดด้านสิ่งแวดล้อม : ประสิทธิภาพพลังงาน,Household refrigerator and refrigerator-freezer environmental requirements: Energy efficiency,บังคับ,14,10,89,33,0,0,103
66,341-2543,ท่อไอเสียรถจักรยานยนต์,Motorcycle exhaust muffler,บังคับ,54,42,39,16,0,0,93
67,3243-2564,เหล็กกล้าทรงแบนรีดร้อนเคลือบสังกะสีโดยกรรมวิธีจุ่มร้อน,Hot-dip Zinc-Coated hot rolled flat steel,บังคับ,30,21,63,40,0,0,93
68,1746-2545,แอมโมเนียมไนเทรตสำหรับทำวัตถุระเบิดแอนโฟ,Ammonium nitrate for anfo explosive,บังคับ,2,2,89,17,0,0,91
69,737-2549,ตะแกรงเหล็กกล้าเชื่อมติดเสริมคอนกรีต,Welded fabric steel for the reinforcement of concrete,ทั่วไป,0,0,0,0,91,53,91
70,2622-2556,ภาชนะและเครื่องใช้โลหะเคลือบฟลูออโรพอลิเมอร์สำหรับอาหาร,Fluoro polymer coated utensils in contact with food,บังคับ,2,2,89,56,0,0,91
71,1389-2559,เครื่องอบผ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,Household and similar electrical Appliances-safety : Particular requirements for tumble dryers,บังคับ,6,4,83,30,0,0,89
72,1462-2562,เครื่องซักผ้าใช้ในที่อยู่อาศัย-คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,Clothes washing machines for household use-Energy efficiency requirements,บังคับ,10,10,79,31,0,0,89
73,1344-2560,กระจกโฟลตสีตัดแสง,Tinted float glass,บังคับ,8,3,78,23,0,0,86
74,1231-2560,กระจกฉนวน,Sealed insulating glass,บังคับ,14,12,71,28,0,0,85
75,60335 เล่ม 2(32)-2564,ความปลอดภัยของเครื่องใช้ไฟฟ้าสำหรับใช้ในที่อยู่อาศัยและเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน เล่ม 2(32) ข้อกำหนดเฉพาะสำหรับเครื่องนวดร่างกาย,Household and similar electrical appliances - safety Part 2-32 : particular requirements for massage appliances,บังคับ,0,0,85,41,0,0,85
76,216-2524,ท่อพีวีซีแข็งสำหรับใช้ร้อยสายไฟฟ้าและสายโทรศัพท์,Rigid PVC conduit for electrical wiring and telephone cable,ทั่วไป,0,0,0,0,81,38,81
77,576-2546,แผ่นคอนกรีตเสริมเหล็กอัดแรงหล่อสำเร็จสำหรับระบบพื้นคอนกรีต,Precast prestressed concrete slabs for concrete floor systems,ทั่วไป,0,0,0,0,80,59,80
78,1499-2563,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเชื่อมประกอบ,Hot-rolled flat steel for welded structure,บังคับ,23,16,54,36,0,0,77
79,655 เล่ม 2-2554,ภาชนะและเครื่องใช้พลาสติกสำหรับอาหาร เล่ม 2 พอลิไวนิลคลอไรด์ พอลิคาร์บอเนต พอลิแอไมด์ และพอลิเมทิลเมทาคริเลต,Plastic utensils for food part 2 poly (Vinyl Chloride) polycarbonate polyamide and poly (Methylmethacrylate),บังคับ,26,24,46,39,0,0,72
80,2532-2563,สีสังเคราะห์ : สีแอซิด,Synthetic dyestuffs: Acid dye,บังคับ,10,10,61,27,0,0,71
81,60335 เล่ม 2(79)-2563,ความปลอดภัยของเครื่องใช้ไฟฟ้าสำหรับใช้ในที่อยู่อาศัยและเครื่องใช้ไฟฟ้าอื่นที่คล้ายกัน เล่ม 2(79) ข้อกำหนดเฉพาะสำหรับเครื่องทำความสะอาดใช้ความดันสูง และเครื่องทำความสะอาดใช้ไอน้ำ,Household and similar electrical appliances - safety - Part 2-79: Particular requirements for high pressure cleaners and steam cleaners,บังคับ,1,1,69,43,0,0,70
82,2915-2561,รถจักรยานยนต์เฉพาะด้านความปลอดภัย - สารมลพิษจากเครื่องยนต์ ระดับที่ 7,Safety requirements for motorcycle : emission from engine level 7,บังคับ,30,19,39,14,0,0,69
83,2625-2557,สีเคลือบแอลคีด : เฉพาะด้านความปลอดภัย,Alkyd enamel: Safety requirement,บังคับ,64,60,1,1,0,0,65
84,2316-2549,เสาเหล็กกล้าเคลือบสังกะสีสำหรับไฟฟ้าแสงสว่าง,Lighting galvanized steel columns,ทั่วไป,0,0,0,0,63,60,63
85,58-2560,คอนกรีตบล็อกกลวงไม่รับน้ำหนัก,Hollow nonloadbearing concrete masonry units,ทั่วไป,0,0,0,0,63,60,63
86,1501-2564,เหล็กกล้าทรงแบนรีดร้อน สำหรับงานโครงสร้างเครื่องจักรกล,Hot-rolled flat steel for machine structure use,บังคับ,21,17,42,23,0,0,63
87,982-2556,ท่อพอลิเอทิลีนสำหรับน้ำดื่ม,Polyethylene pipes for drinking water,ทั่วไป,0,0,0,0,62,28,62
88,542-2549,วัสดุเทอร์โมพลาสติกสะท้อนแสงสำหรับทำเครื่องหมายบนผิวทาง,Reflective thermoplastic road marking material,ทั่วไป,0,0,0,0,58,57,58
89,3046-2563,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยการอัด เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 6,"Heavy motor vehicle equipped with compression ignition engines : safety requirements; emission from engine, level 6",บังคับ,8,8,50,31,0,0,58
90,3017-2563,รถยนต์ขนาดเล็กที่ใช้เครื่องยนต์แบบจุดระเบิดด้วยประกายไฟ เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 10,"Light duty positive ignition engine vehicles : safety requirements; emission from engine, level 10",บังคับ,10,9,46,20,1,1,57
91,78-2549,ผงซักฟอก,Laundry detergent powder,บังคับ,34,30,22,16,0,0,56
92,248-2567,ราวเหล็กลูกฟูกกันรถสำหรับทางสัญจร,CORRUGATED SHEET STEEL BEAMS FOR ROADWAY GUARDRAIL,ทั่วไป,0,0,0,0,56,56,56
93,826-2531,กระเบื้องซีเมนต์ปูพื้น,Cement mortar flooring tiles,ทั่วไป,0,0,0,0,52,27,52
94,11 เล่ม 101-2559,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 101 สายไฟฟ้ามีเปลือกสำหรับงานทั่วไป,Polyvinyl chloride insulated cables of rated voltages up to and including 450/750 V - Part 101: Sheathed cables for general purposes,บังคับ,45,36,6,6,0,0,51
95,1379-2551,ถังเก็บน้ำพลาสติก,Plastics water tanks,ทั่วไป,0,0,0,0,50,36,50
96,2062-2558,กระติกน้ำร้อนไฟฟ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,Electric thermo pots: Safety requirements,บังคับ,14,14,36,26,0,0,50
97,24-2559,เหล็กเส้นเสริมคอนกรีต : เหล็กข้ออ้อย,Steel bars for reinforced concrete: deformed bars,บังคับ,46,37,3,1,0,0,49
98,293-2541,สายไฟฟ้าอะลูมิเนียมหุ้มด้วยฉนวนโพลิไวนิลคลอไรด์,PVC-insulated aluminium cables,บังคับ,41,32,8,5,0,0,49
99,1123-2555,สีรองพื้นสำหรับงานปูน,Masonry primer,ทั่วไป,0,0,0,0,48,45,48
100,2425-2560,เครื่องตัดวงจรใช้กระแสเหลือแบบไม่มีอุปกรณ์ป้องกันกระแสเกิน สำหรับใช้ในที่อยู่อาศัยและใช้ในลักษณะที่คล้ายกัน เล่ม 1 หลักเกณฑ์ทั่วไป,Residual current operated circuit-breakers without integral overcurrent protection for household and similar uses (RCCBS) - Part 1 : general rules,บังคับ,2,2,46,37,0,0,48
101,56-2560,น้ำตาลทราย,Sugar,ทั่วไป,0,0,0,0,48,42,48
102,739-2563,สีสังเคราะห์ : สีไดเร็กต์,Synthetic dyestuff : Direct dye,บังคับ,11,11,36,14,0,0,47
103,1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,Cold-formed structural steel sections for general structure,บังคับ,45,40,0,0,0,0,45
104,2543-2555,มาตรพลังงานไฟฟ้ากระแสสลับ : ข้อกำหนดเฉพาะ มาตรอิเล็กทรอนิกส์สำหรับพลังงานใช้งาน (ชั้น 1 และชั้น 2),Electricity metering equipment (AC) - particular requirements - static meters for active energy (class 1 and 2),ทั่วไป,0,0,0,0,44,31,44
