tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,import_dependency_ratio,domestic_share_ratio
11 เล่ม 3-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 3 สายไฟฟ้าไม่มีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,108,28,0.20588235142733566,0.7941176412197233
11 เล่ม 4-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 4 สายไฟฟ้ามีเปลือกสำหรับงานติดตั้งยึดกับที่,2025-11-01,40,2,0.0476190464852608,0.952380929705216
11 เล่ม 5-2553,สายไฟฟ้าหุ้มฉนวนพอลิไวนิลคลอไรด์ แรงดันไฟฟ้าที่กำหนดไม่เกิน 450/750 โวลต์ เล่ม 5 สายอ่อน,2025-11-01,95,30,0.23999999808000003,0.7599999939200001
1101-2535,อุปกรณ์ช่วยปิดประตูสำหรับประตูบานผลักสองทาง,2025-11-01,0,0,0.0,0.0
111-2538,ผ้าถักวงกลม,2025-11-01,0,0,0.0,0.0
1115-2535,แฟ้มกระดาษ,2025-11-01,0,0,0.0,0.0
1122-2546,เก้าอี้ผู้ปฏิบัติการทันตกรรม,2025-11-01,0,0,0.0,0.0
1123-2555,สีรองพื้นสำหรับงานปูน,2025-11-01,0,0,0.0,0.0
1128-2562,แผ่นเหล็กมุงหลังคา,2025-11-01,0,0,0.0,0.0
1129-2535,ชุดพื้นยก,2025-11-01,0,0,0.0,0.0
113-2562,ตะปูเหล็ก,2025-11-01,0,0,0.0,0.0
1132-2536,ภาชนะพลาสติกสำหรับบรรจุผลิตภัณฑ์ปิโตรเลียมจุดวาบไฟสูง,2025-11-01,0,0,0.0,0.0
1136-2559,ฟิล์มยืดหุ้มห่ออาหาร,2025-11-01,5,8,0.615384568047341,0.3846153550295881
1139-2536,ท่อทองแดงไร้ตะเข็บ,2025-11-01,0,0,0.0,0.0
1141-2565,ถ้วยกระดาษสำหรับเครื่องดื่ม,2025-11-01,0,0,0.0,0.0
1146-2536,ชุดล้อสำหรับประตูและหน้าต่างบานเลื่อนอะลูมิเนียม,2025-11-01,0,0,0.0,0.0
1147-2549,ดินสอสี,2025-11-01,0,0,0.0,0.0
1149-2548,สีเทียน,2025-11-01,9,14,0.6086956257088858,0.39130433081285515
115-2529,กุ้งเยือกแข็ง,2025-11-01,0,0,0.0,0.0
1155-2557,เครื่องปรับอากาศสำหรับห้อง แบบแยกส่วน,2025-11-01,0,0,0.0,0.0
1163-2536,แผ่นเทอร์โมเซตติงแลมิเนต,2025-11-01,0,0,0.0,0.0
1164-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ทางเท้า วัสดุถมไม่เกิน 3.0 m,2025-11-01,0,0,0.0,0.0
1165-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมน้อยกว่า 0.6 m,2025-11-01,0,0,0.0,0.0
1166-2559,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จรูปสี่เหลี่ยมสำหรับงานระบายน้ำใต้ผิวจราจร วัสดุถมระหว่าง 0.6 m ถึง 3.0 m,2025-11-01,0,0,0.0,0.0
1170-2536,ฟรักโทสซิรัป,2025-11-01,0,0,0.0,0.0
1177-2556,น้ำยารองพื้นสำหรับพื้นผิวที่เป็นฝุ่น,2025-11-01,0,0,0.0,0.0
1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,2025-11-01,0,0,0.0,0.0
118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,2025-11-01,0,0,0.0,0.0
1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,2025-11-01,0,0,0.0,0.0
1181-2536,ขวดนมพลาสติก,2025-11-01,0,0,0.0,0.0
