tis_number,tis_name_th,snapshot_date,num_manufacturing_licenses,num_import_licenses,num_display_licenses,total_licenses,num_manufacturing_licenses_diff,num_manufacturing_licenses_pct_change,num_import_licenses_diff,num_import_licenses_pct_change,num_display_licenses_diff,num_display_licenses_pct_change,total_licenses_diff,total_licenses_pct_change
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,2025-11-01,19,19,0,38,,,,,,,,
1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,2025-11-01,45,0,0,45,,,,,,,,
1230-2537,จานเรซินอยด์สำหรับตัด,2025-11-01,0,0,3,3,,,,,,,,
1231-2560,กระจกฉนวน,2025-11-01,14,71,0,85,,,,,,,,
1237-2537,ฝาและขอบบ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จ,2025-11-01,0,0,3,3,,,,,,,,
124-2518,สายพานแบนส่งกำลัง,2025-11-01,0,0,2,2,,,,,,,,
1245-2553,สารอัดแบบเมลามีนฟอร์แมลดีไฮด์,2025-11-01,0,0,3,3,,,,,,,,
1253-2537,เครื่องเรือนอเนกประสงค์ : เก้าอี้โลหะ,2025-11-01,0,0,5,5,,,,,,,,
126-2548,ข้อต่อซีเมนต์ใยหินชนิดทนความดัน,2025-11-01,0,0,3,3,,,,,,,,
127-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งพื้น,2025-11-01,0,0,4,4,,,,,,,,
1277-2555,ก๊อกน้ำสำหรับอ่างล้างชาม,2025-11-01,0,0,6,6,,,,,,,,
1278-2555,ก๊อกน้ำสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,9,9,,,,,,,,
128-2560,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,2025-11-01,0,0,457,457,,,,,,,,
1282-2538,สะดือสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,0,0,2,2,,,,,,,,
1283-2538,เครื่องตัดหญ้าแบบใบมีดหมุนเหวี่ยงตามแนวระดับสำหรับรถแทรกเตอร์ล้อยางเพื่อการเกษตร,2025-11-01,0,0,1,1,,,,,,,,
1284-2560,ตู้เหล็กเก็บสัมภาระ,2025-11-01,0,0,9,9,,,,,,,,
1288-2538,วงกบและกรอบบานโลหะสำหรับประตูและหน้าต่าง : ประตูเหล็กกล้าขึ้นรูปเย็น,2025-11-01,0,0,27,27,,,,,,,,
13-2566,กรดซัลฟิวริกสำหรับแบตเตอรี่ชนิดตะกั่ว-กรด,2025-11-01,0,0,2,2,,,,,,,,
1303-2538,เหล็กโครงสร้างรูปพรรณเชื่อมประกอบ,2025-11-01,0,0,3,3,,,,,,,,
1306-2566,พอลิโพรพิลีนเรซิน,2025-11-01,0,0,5,5,,,,,,,,
131-2523,รองเท้าแตะฟองน้ำ,2025-11-01,0,0,2,2,,,,,,,,
1316-2562,ชั้นโลหะวางของ,2025-11-01,0,0,1,1,,,,,,,,
1318-2552,ทินเนอร์ระเหยช้า,2025-11-01,0,0,1,1,,,,,,,,
132-2564,รองเท้าผ้าใบ,2025-11-01,0,0,1,1,,,,,,,,
1326-2560,เครื่องเรือนสำหรับที่พักอาศัย : ตู้เหล็กเก็บเสื้อผ้า,2025-11-01,0,0,4,4,,,,,,,,
133-2562,ปูนซีเมนต์ปอร์ตแลนด์ขาว,2025-11-01,1,5,0,6,,,,,,,,
1342-2539,น้ำตาลทรายแดง,2025-11-01,0,0,1,1,,,,,,,,
1344-2560,กระจกโฟลตสีตัดแสง,2025-11-01,8,78,0,86,,,,,,,,
1350-2539,รถแทรกเตอร์เดินตาม,2025-11-01,0,0,1,1,,,,,,,,
1368-2539,ประตูระบายอากาศสำหรับงานประปา,2025-11-01,0,0,26,26,,,,,,,,
