tis_number,tis_name_th,num_manufacturing_licenses,num_manufacturing_entrepreneurs,num_import_licenses,num_import_entrepreneurs,num_display_licenses,num_display_entrepreneurs,total_licenses,snapshot_date,num_total_entrepreneurs,import_to_manufacturing_ratio,import_dependency_ratio,domestic_share_ratio,display_to_total_ratio
1178-2549,สารขึ้นรูปยูเรียฟอร์มาลดีไฮด์,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
118-2522,สายไฟฟ้าแรงต่ำสำหรับรถยนต์,0,0,0,0,14,4,14,2025-11-01,4,0.0,0.0,0.0,0.9999999285714337
1180(1)-2538,รถยนต์ขนาดใหญ่ที่ใช้เครื่องยนต์ดีเซล เฉพาะด้านความปลอดภัย : สารมลพิษจากเครื่องยนต์ ระดับที่ 1,0,0,0,0,5,1,5,2025-11-01,1,0.0,0.0,0.0,0.99999980000004
1181-2536,ขวดนมพลาสติก,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1183-2536,เครื่องเรือนสำหรับสำนักงาน : โต๊ะทำงานเหล็กกล้า,0,0,0,0,4,2,4,2025-11-01,2,0.0,0.0,0.0,0.9999997500000625
1189-2536,ก๊อกน้ำสำหรับฝักบัวอาบน้ำ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1193-2536,บ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,0,0,0,0,5,5,5,2025-11-01,5,0.0,0.0,0.0,0.99999980000004
12-2530,กระเบื้องซีเมนต์ใยหินแผ่นเรียบ,0,0,0,0,14,7,14,2025-11-01,7,0.0,0.0,0.0,0.9999999285714337
1200-2536,หมุดเกลียวเหล็กกล้าไร้สนิมยึดกระดูกหัวหลุมหกเหลี่ยมฐานหัวจมรูปทรงกลมเกลียวอสมมาตร,0,0,0,0,1,1,1,2025-11-01,1,0.0,0.0,0.0,0.9999990000010001
1220-2541,ชุดประตูทนไฟแบบบานเปิด,0,0,0,0,17,17,17,2025-11-01,17,0.0,0.0,0.0,0.999999941176474
1222-2560,กระจกนิรภัยหลายชั้น,35,32,87,32,0,0,122,2025-11-01,64,2.4857142146938798,0.7131147482531578,0.28688524355012096,0.0
1227-2558,เหล็กโครงสร้างรูปพรรณรีดร้อน,19,11,19,9,0,0,38,2025-11-01,20,0.9999999473684238,0.49999998684210567,0.49999998684210567,0.0
1228-2561,เหล็กโครงสร้างรูปพรรณขึ้นรูปเย็น สำหรับงานโครงสร้างทั่วไป,45,40,0,0,0,0,45,2025-11-01,40,0.0,0.0,0.9999999777777784,0.0
1230-2537,จานเรซินอยด์สำหรับตัด,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1231-2560,กระจกฉนวน,14,12,71,28,0,0,85,2025-11-01,40,5.0714282091837,0.8352941078200693,0.16470588041522494,0.0
1237-2537,ฝาและขอบบ่อพักคอนกรีตเสริมเหล็กหล่อสำเร็จ,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
124-2518,สายพานแบนส่งกำลัง,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
1245-2553,สารอัดแบบเมลามีนฟอร์แมลดีไฮด์,0,0,0,0,3,3,3,2025-11-01,3,0.0,0.0,0.0,0.9999996666667778
1253-2537,เครื่องเรือนอเนกประสงค์ : เก้าอี้โลหะ,0,0,0,0,5,3,5,2025-11-01,3,0.0,0.0,0.0,0.99999980000004
126-2548,ข้อต่อซีเมนต์ใยหินชนิดทนความดัน,0,0,0,0,3,2,3,2025-11-01,2,0.0,0.0,0.0,0.9999996666667778
127-2536,พัดลมไฟฟ้ากระแสสลับชนิดตั้งพื้น,0,0,0,0,4,3,4,2025-11-01,3,0.0,0.0,0.0,0.9999997500000625
1277-2555,ก๊อกน้ำสำหรับอ่างล้างชาม,0,0,0,0,6,2,6,2025-11-01,2,0.0,0.0,0.0,0.9999998333333611
1278-2555,ก๊อกน้ำสำหรับอ่างล้างหน้า-ล้างมือ,0,0,0,0,9,3,9,2025-11-01,3,0.0,0.0,0.0,0.9999998888889013
128-2560,ท่อคอนกรีตเสริมเหล็กหล่อสำเร็จสำหรับงานระบายน้ำ,0,0,0,0,457,439,457,2025-11-01,439,0.0,0.0,0.0,0.9999999978118163
1282-2538,สะดือสำหรับอ่างล้างหน้า-ล้างมือ,0,0,0,0,2,2,2,2025-11-01,2,0.0,0.0,0.0,0.99999950000025
