tis_number,tis_name_th,snapshot_date,num_total_entrepreneurs,import_dependency_ratio,entrepreneur_risk_raw,entrepreneur_risk_norm,import_dependency_norm,risk_score,risk_label
1326-2560,เครื่องเรือนสำหรับที่พักอาศัย : ตู้เหล็กเก็บเสื้อผ้า,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
133-2562,ปูนซีเมนต์ปอร์ตแลนด์ขาว,2025-11-01,6,0.8333331944444675,0.14285714285714285,0.28437290409121396,0.8333332042483874,55.885305416980074,medium
1342-2539,น้ำตาลทรายแดง,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1344-2560,กระจกโฟลตสีตัดแสง,2025-11-01,26,0.9069767336398055,0.037037037037037035,0.07233524604416622,0.90697674431012,48.96559951771431,medium
1350-2539,รถแทรกเตอร์เดินตาม,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1368-2539,ประตูระบายอากาศสำหรับงานประปา,2025-11-01,16,0.0,0.058823529411764705,0.115990057995029,0.0,5.79950289975145,low
1377-2555,ก๊อกน้ำปิดอัตโนมัติสำหรับอ่างล้างหน้า-ล้างมือ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1378-2559,เหล็กกล้าไร้สนิมทรงแบนรีดเย็น แผ่นม้วน แผ่นแถบ และแผ่นตัด,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1379-2551,ถังเก็บน้ำพลาสติก,2025-11-01,36,0.0,0.02702702702702703,0.05227762974241847,0.0,2.6138814871209237,low
138-2562,ลวดผูกเหล็ก,2025-11-01,6,0.0,0.14285714285714285,0.28437290409121396,0.0,14.218645204560698,low
1388-2539,ทองแดงและทองแดงเจือแผ่นและแผ่นแถบ,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1389-2559,เครื่องอบผ้า คุณลักษณะที่ต้องการด้านความปลอดภัย,2025-11-01,34,0.9325842591844465,0.02857142857142857,0.05537223340040241,0.9325842701560261,49.397825177821424,medium
1390-2560,เข็มพืดเหล็กกล้ารีดร้อน,2025-11-01,7,0.8749998906250137,0.125,0.24859154929577465,0.87499990091913,56.17957251074523,medium
1394-2561,สายดูดเสมหะสำหรับใช้ครั้งเดียว,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
1395-2562,บล็อกแก้วกลวง,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1398-2565,เข็มฉีดยาผ่านใต้ผิวหนังปราศจากเชื้อชนิดใช้ครั้งเดียว,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
14-2565,มอโนโซเดียม แอล-กลูทาเมต,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1404-2540,ที่นอนฟองน้ำโพลิยูรีเทน,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1406-2564,สีเคลือบด้านแอลคีด,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1407-2540,กระเบื้องซีเมนต์เส้นใยแผ่นลอน,2025-11-01,5,0.0,0.16666666666666666,0.3320813771517997,0.0,16.604068857589986,low
1413-2540,ประตูน้ำเหล็กหล่อ : ลิ้นยกแบบลิ้นหุ้มยางสำหรับงานประปา,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1414-2540,แผงรั้วโลหะ,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1419-2540,เครื่องกรองน้ำชนิดใช้ถ่านกัมมันต์เม็ดและเรซินแลกเปลี่ยนแคตไอออน,2025-11-01,3,0.0,0.25,0.4990610328638498,0.0,24.953051643192488,low
1420-2551,ไส้กรองความขุ่นสำหรับเครื่องกรองน้ำดื่ม,2025-11-01,4,0.0,0.2,0.39887323943661973,0.0,19.943661971830988,low
1424-2540,เครื่องเรือนสำหรับสำนักงาน: ฉากกั้นห้อง,2025-11-01,1,0.0,0.5,1.0,0.0,50.0,medium
1425-2540,ที่นอนยางฟองน้ำลาเทกซ์,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1427-2561,แผ่นซีเมนต์เส้นใย : แผ่นเรียบ,2025-11-01,7,0.0,0.125,0.24859154929577465,0.0,12.429577464788732,low
1436 เล่ม 2-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 2 ชุดสวิตช์เกียร์และชุดเกียร์ควบคุม,2025-11-01,28,0.0,0.034482758620689655,0.06721709567751336,0.0,3.3608547838756677,low
1436 เล่ม 3-2564,ชุดประกอบสวิตช์เกียร์และเกียร์ควบคุมไฟฟ้าแรงดันต่ำ เล่ม 3 บอร์ดจ่ายไฟฟ้าประสงค์ให้ใช้งานโดยบุคคลทั่วไป,2025-11-01,36,0.0,0.02702702702702703,0.05227762974241847,0.0,2.6138814871209237,low
1439-2558,ท่อเหล็กกล้าไร้สนิมออสเทไนต์สำหรับหม้อน้ำเครื่องกำเนิดไอน้ำยวดยิ่ง เครื่องแลกเปลี่ยนความร้อน และเครื่องควบแน่น,2025-11-01,2,0.0,0.3333333333333333,0.6660406885758998,0.0,33.30203442879499,low
1462-2562,เครื่องซักผ้าใช้ในที่อยู่อาศัย-คุณลักษณะที่ต้องการด้านประสิทธิภาพพลังงาน,2025-11-01,41,0.8876404394647142,0.023809523809523808,0.04583053878828526,0.8876404499075429,46.673549434791404,medium
